Search_Genus,Search_Species_Epithet,Search_Name,Accepted_Name,Systematic_Order,Family,Subfamily,Genus,Name,Species_Epithet,Author_Year,Author,Year,Full_Name,Aggregate,Synonym_Search_Name,Synonym_Source,Species_Search_Name,usageKey,scientificName,rank,order,matchType,phylum,kingdom,genus,class,confidence,synonym,status,family
Euchloe,grancanariensis,Euchloe grancanariensis,Euchloe grancanariensis,104,Pieridae,Pierinae,Euchloe,Euchloe grancanariensis,grancanariensis,"Acosta, 2008",Acosta,2008,"Euchloe grancanariensis Acosta, 2008",FALSE,FALSE,"",TRUE,4535277,"Euchloe grancanariensis Acosta, 2008",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,FALSE,ACCEPTED,Pieridae
Euchloe,grancanariensis,Euchloe belemia grancanariensis,Euchloe grancanariensis,104,Pieridae,Pierinae,Euchloe,Euchloe grancanariensis,grancanariensis,"Acosta, 2008",Acosta,2008,"Euchloe grancanariensis Acosta, 2008",FALSE,TRUE,"",FALSE,,,,,,,,,,,,,
Euchloe,hesperidum,Euchloe hesperidum,Euchloe hesperidum,105,Pieridae,Pierinae,Euchloe,Euchloe hesperidum,hesperidum,"Rothschild, 1913",Rothschild,1913,"Euchloe hesperidum Rothschild, 1913",FALSE,FALSE,"",TRUE,4535285,"Euchloe hesperidum Rothschild, 1913",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,FALSE,ACCEPTED,Pieridae
Euchloe,hesperidum,Euchloe belemia hesperidum,Euchloe hesperidum,105,Pieridae,Pierinae,Euchloe,Euchloe hesperidum,hesperidum,"Rothschild, 1913",Rothschild,1913,"Euchloe hesperidum Rothschild, 1913",FALSE,TRUE,"",FALSE,,,,,,,,,,,,,
Euchloe,belemia,Euchloe belemia,Euchloe belemia,106,Pieridae,Pierinae,Euchloe,Euchloe belemia,belemia,"(Esper, 1800)",Esper,1800,"Euchloe belemia (Esper, 1800)",FALSE,FALSE,"",TRUE,1919333,"Euchloe belemia (Esper, 1800)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,FALSE,ACCEPTED,Pieridae
Papilio,belemia,Papilio belemia,Euchloe belemia,106,Pieridae,Pierinae,Euchloe,Euchloe belemia,belemia,"(Esper, 1800)",Esper,1800,"Euchloe belemia (Esper, 1800)",FALSE,TRUE,"",TRUE,4535278,"Papilio belemia Esper, 1800",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,TRUE,SYNONYM,Pieridae
Euchloe,insularis,Euchloe insularis,Euchloe insularis,107,Pieridae,Pierinae,Euchloe,Euchloe insularis,insularis,"(Staudinger, 1861)",Staudinger,1861,"Euchloe insularis (Staudinger, 1861)",FALSE,FALSE,"",TRUE,1919325,"Euchloe insularis (Staudinger, 1861)",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,FALSE,ACCEPTED,Pieridae
Anthocharis,insularis,Anthocharis insularis,Euchloe insularis,107,Pieridae,Pierinae,Euchloe,Euchloe insularis,insularis,"(Staudinger, 1861)",Staudinger,1861,"Euchloe insularis (Staudinger, 1861)",FALSE,TRUE,"",TRUE,4535279,"Anthocharis insularis Staudinger, 1861",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,TRUE,SYNONYM,Pieridae
Anthocharis,insularis,Anthocharis tagis insularis,Euchloe insularis,107,Pieridae,Pierinae,Euchloe,Euchloe insularis,insularis,"(Staudinger, 1861)",Staudinger,1861,"Euchloe insularis (Staudinger, 1861)",FALSE,TRUE,"",FALSE,,,,,,,,,,,,,
Euchloe,crameri,Euchloe crameri,Euchloe crameri,108,Pieridae,Pierinae,Euchloe,Euchloe crameri,crameri,"Butler, 1869",Butler,1869,"Euchloe crameri Butler, 1869",FALSE,FALSE,"",TRUE,7981372,"Euchloe crameri Butler, 1869",SPECIES,Lepidoptera,EXACT,Arthropoda,Animalia,Euchloe,Insecta,98,FALSE,ACCEPTED,Pieridae
